time,C,D,E,I,S,T
0.660299999999999, 3492.0376645, 24.6418792, 0.4422667, 1115.6960698, 4929.9843184, 37.5064779
0.663399999999999, 3499.1050231, 24.8730302, 0.4443333, 1119.3961958, 4919.0981529, 37.3982016
0.666499999999999, 3506.1023097, 25.1049435, 0.4464000, 1123.0805600, 4908.2967058, 37.2902040
0.669599999999999, 3513.0301451, 25.3376158, 0.4484667, 1126.7492690, 4897.5792466, 37.1824937
0.672699999999999, 3519.8891446, 25.5710438, 0.4505333, 1130.4024283, 4886.9450508, 37.0750786
0.675799999999999, 3526.6799181, 25.8052245, 0.4526000, 1134.0401426, 4876.3934011, 36.9679665
0.678899999999999, 3533.4030701, 26.0401546, 0.4546667, 1137.6625157, 4865.9235864, 36.8611646
0.681999999999999, 3540.0592000, 26.2758309, 0.4567333, 1141.2696507, 4855.5349021, 36.7546797
0.685099999999999, 3546.6489017, 26.5122504, 0.4588000, 1144.8616495, 4845.2266501, 36.6485185
0.688199999999999, 3553.1727640, 26.7494098, 0.4608667, 1148.4386136, 4834.9981385, 36.5426873
0.691299999999999, 3559.6313704, 26.9873062, 0.4629333, 1152.0006433, 4824.8486820, 36.4371918
0.694399999999999, 3566.0252996, 27.2259365, 0.4650000, 1155.5478383, 4814.7776010, 36.3320378
0.697499999999999, 3572.3551249, 27.4652975, 0.4670667, 1159.0802974, 4804.7842226, 36.2272305
0.700599999999999, 3578.6214147, 27.7053863, 0.4691333, 1162.5981185, 4794.8678795, 36.1227750
0.703699999999999, 3584.8247325, 27.9461999, 0.4712000, 1166.1013989, 4785.0279107, 36.0186760
0.706799999999999, 3590.9656366, 28.1877353, 0.4732667, 1169.5902349, 4775.2636611, 35.9149380
0.709899999999999, 3597.0446808, 28.4299894, 0.4753333, 1173.0647221, 4765.5744815, 35.8115652
0.712999999999999, 3603.0624136, 28.6729594, 0.4774000, 1176.5249554, 4755.9597284, 35.7085616
0.716099999999999, 3609.0193791, 28.9166423, 0.4794667, 1179.9710287, 4746.4187644, 35.6059309
0.719199999999999, 3614.9161164, 29.1610352, 0.4815333, 1183.4030353, 4736.9509575, 35.5036766
0.722299999999998, 3620.7531599, 29.4061353, 0.4836000, 1186.8210677, 4727.5556815, 35.4018020
0.725399999999998, 3626.5310393, 29.6519395, 0.4856667, 1190.2252177, 4718.2323159, 35.3003103
0.728499999999998, 3632.2502799, 29.8984452, 0.4877333, 1193.6155762, 4708.9802455, 35.1992042
0.731599999999998, 3637.9114021, 30.1456494, 0.4898000, 1196.9922335, 4699.7988610, 35.0984864
0.734699999999998, 3643.5149218, 30.3935493, 0.4918667, 1200.3552791, 4690.6875580, 34.9981595
0.737799999999998, 3649.0613505, 30.6421422, 0.4939333, 1203.7048018, 4681.6457381, 34.8982256
0.740899999999998, 3654.5511952, 30.8914252, 0.4960000, 1207.0408895, 4672.6728077, 34.7986870
0.743999999999998, 3659.9849584, 31.1413956, 0.4980667, 1210.3636297, 4663.7681789, 34.6995457
0.747099999999998, 3665.3631382, 31.3920507, 0.5001333, 1213.6731090, 4654.9312687, 34.6008033
0.750199999999998, 3670.6862284, 31.6433876, 0.5022000, 1216.9694133, 4646.1614996, 34.5024615
0.753299999999998, 3675.9547185, 31.8954038, 0.5042667, 1220.2526278, 4637.4582990, 34.4045219
0.756399999999998, 3681.1690935, 32.1480965, 0.5063333, 1223.5228370, 4628.8210995, 34.3069858
0.759499999999998, 3686.3298345, 32.4014630, 0.5084000, 1226.7801248, 4620.2493386, 34.2098543
0.762599999999998, 3691.4374181, 32.6555007, 0.5104667, 1230.0245743, 4611.7424591, 34.1131285
0.765699999999998, 3696.4923169, 32.9102070, 0.5125333, 1233.2562681, 4603.2999083, 34.0168094
0.768799999999998, 3701.4949993, 33.1655791, 0.5146000, 1236.4752879, 4594.9211388, 33.9208979
0.771899999999998, 3706.4459297, 33.4216146, 0.5166667, 1239.6817148, 4586.6056078, 33.8253945
0.774999999999998, 3711.3455682, 33.6783108, 0.5187333, 1242.8756295, 4578.3527773, 33.7302999
0.778099999999998, 3716.1943711, 33.9356651, 0.5208000, 1246.0571117, 4570.1621143, 33.6356145
0.781199999999998, 3720.9927906, 34.1936750, 0.5228667, 1249.2262406, 4562.0330901, 33.5413388
0.784299999999998, 3725.7412751, 34.4523380, 0.5249333, 1252.3830947, 4553.9651812, 33.4474729
0.787399999999998, 3730.4402689, 34.7116515, 0.5270000, 1255.5277521, 4545.9578681, 33.3540171
0.790499999999998, 3735.0902125, 34.9716130, 0.5290667, 1258.6602899, 4538.0106365, 33.2609715
0.793599999999998, 3739.6915425, 35.2322201, 0.5311333, 1261.7807849, 4530.1229761, 33.1683359
0.796699999999998, 3744.2446917, 35.4934701, 0.5332000, 1264.8893132, 4522.2943815, 33.0761104
0.799799999999998, 3748.7500892, 35.7553608, 0.5352667, 1267.9859500, 4514.5243515, 32.9842947
0.802899999999998, 3753.2081602, 36.0178896, 0.5373333, 1271.0707704, 4506.8123894, 32.8928887
0.805999999999998, 3757.6193263, 36.2810541, 0.5394000, 1274.1438484, 4499.1580028, 32.8018918
0.809099999999998, 3761.9840054, 36.5448519, 0.5414667, 1277.2052578, 4491.5607037, 32.7113038
0.812199999999998, 3766.3026118, 36.8092806, 0.5435333, 1280.2550716, 4484.0200085, 32.6211242
0.815299999999998, 3770.5755559, 37.0743378, 0.5456000, 1283.2933622, 4476.5354375, 32.5313524
0.818399999999998, 3774.8032449, 37.3400212, 0.5476667, 1286.3202015, 4469.1065156, 32.4419877
0.821499999999998, 3778.9860822, 37.6063283, 0.5497333, 1289.3356608, 4461.7327717, 32.3530297
0.824599999999998, 3783.1244677, 37.8732569, 0.5518000, 1292.3398108, 4454.4137387, 32.2644774
0.827699999999998, 3787.2187979, 38.1408045, 0.5538667, 1295.3327216, 4447.1489537, 32.1763301
