,C,D,I,S,T
2.74999999999999, 359680.2358622, 26.8234789, 98.5366323, 11241.2065282, 4738.4394532
2.75999999999999, 359783.0840630, 26.9941477, 98.4378634, 11035.4525006, 4721.3322078
2.76999999999998, 359881.8229888, 27.1646437, 98.3379167, 10833.6200009, 4704.3808988
2.77999999999998, 359976.5316694, 27.3349650, 98.2368200, 10635.6336672, 4687.5831802
2.78999999999998, 360067.2876159, 27.5051096, 98.1346004, 10441.4195757, 4670.9367620
2.79999999999998, 360154.1668493, 27.6750755, 98.0312848, 10250.9052131, 4654.4394083
2.80999999999998, 360237.2439293, 27.8448610, 97.9268994, 10064.0194514, 4638.0889352
2.81999999999998, 360316.5919821, 28.0144642, 97.8214697, 9880.6925214, 4621.8832091
2.82999999999998, 360392.2827276, 28.1838833, 97.7150211, 9700.8559880, 4605.8201457
2.83999999999998, 360464.3865067, 28.3531166, 97.6075783, 9524.4427248, 4589.8977074
2.84999999999998, 360532.9723072, 28.5221624, 97.4991653, 9351.3868902, 4574.1139027
2.85999999999998, 360598.1077903, 28.6910191, 97.3898061, 9181.6239027, 4558.4667843
2.86999999999998, 360659.8593153, 28.8596850, 97.2795238, 9015.0904181, 4542.9544477
2.87999999999998, 360718.2919651, 29.0281586, 97.1683413, 8851.7243059, 4527.5750300
2.88999999999998, 360773.4695705, 29.1964383, 97.0562809, 8691.4646263, 4512.3267085
2.89999999999998, 360825.4547340, 29.3645226, 96.9433646, 8534.2516083, 4497.2076994
2.90999999999998, 360874.3088538, 29.5324101, 96.8296139, 8380.0266277, 4482.2162570
2.91999999999998, 360920.0921463, 29.7000994, 96.7150498, 8228.7321852, 4467.3506718
2.92999999999998, 360962.8636695, 29.8675891, 96.5996930, 8080.3118852, 4452.6092703
2.93999999999998, 361002.6813446, 30.0348779, 96.4835638, 7934.7104155, 4437.9904131
2.94999999999998, 361039.6019782, 30.2019643, 96.3666821, 7791.8735263, 4423.4924946
2.95999999999998, 361073.6812837, 30.3688472, 96.2490672, 7651.7480104, 4409.1139414
2.96999999999998, 361104.9739021, 30.5355253, 96.1307383, 7514.2816834, 4394.8532116
2.97999999999998, 361133.5334228, 30.7019974, 96.0117141, 7379.4233643, 4380.7087943
2.98999999999998, 361159.4124040, 30.8682623, 95.8920129, 7247.1228568, 4366.6792078
2.99999999999998, 361182.6623919, 31.0343189, 95.7716527, 7117.3309300, 4352.7629996
3.00999999999998, 361203.3339410, 31.2001660, 95.6506511, 6989.9993008, 4338.9587452
3.01999999999998, 361221.4766325, 31.3658025, 95.5290255, 6865.0806154, 4325.2650474
3.02999999999998, 361237.1390935, 31.5312275, 95.4067926, 6742.5284319, 4311.6805354
3.03999999999998, 361250.3690151, 31.6964398, 95.2839692, 6622.2972029, 4298.2038643
3.04999999999998, 361261.2131706, 31.8614384, 95.1605715, 6504.3422583, 4284.8337142
3.05999999999998, 361269.7174329, 32.0262225, 95.0366155, 6388.6197889, 4271.5687897
3.06999999999998, 361275.9267924, 32.1907909, 94.9121167, 6275.0868297, 4258.4078191
3.07999999999998, 361279.8853734, 32.3551429, 94.7870906, 6163.7012441, 4245.3495537
3.08999999999998, 361281.6364512, 32.5192775, 94.6615520, 6054.4217078, 4232.3927673
3.09999999999998, 361281.2224682, 32.6831938, 94.5355158, 5947.2076936, 4219.5362559
3.10999999999998, 361278.6850503, 32.8468911, 94.4089964, 5842.0194557, 4206.7788364
3.11999999999998, 361274.0650222, 33.0103684, 94.2820080, 5738.8180154, 4194.1193469
3.12999999999998, 361267.4024233, 33.1736251, 94.1545643, 5637.5651459, 4181.5566454
3.13999999999998, 361258.7365226, 33.3366602, 94.0266790, 5538.2233582, 4169.0896098
3.14999999999998, 361248.1058336, 33.4994731, 93.8983654, 5440.7558868, 4156.7171373
3.15999999999998, 361235.5481290, 33.6620631, 93.7696365, 5345.1266761, 4144.4381438
3.16999999999998, 361221.1004549, 33.8244294, 93.6405052, 5251.3003664, 4132.2515635
3.17999999999998, 361204.7991445, 33.9865714, 93.5109840, 5159.2422809, 4120.1563484
3.18999999999998, 361186.6798328, 34.1484884, 93.3810852, 5068.9184125, 4108.1514680
3.19999999999998, 361166.7774690, 34.3101797, 93.2508207, 4980.2954109, 4096.2359087
3.20999999999998, 361145.1263305, 34.4716448, 93.1202026, 4893.3405701, 4084.4086736
3.21999999999998, 361121.7600355, 34.6328831, 92.9892422, 4808.0218158, 4072.6687819
